State,Continuum of Care (CoC),ES-SH-TH Median (Days),ES-SH-TH-PH 1st Time Homeless,Percent Returns in 6 mths,Percent Returns in 12 mths,"Percent with Successful  ES, TH, SH, PH-RRH Exit"
NC,Winston-Salem/Forsyth County CoC,49,779,0.103448276,0.149014778,0.401468788
NC,Asheville/Buncombe County CoC,164,684,0.07,0.11,0.407232704
NC,Durham City & County CoC,71,720,0.06,0.09,0.397849462
NC,North Carolina Balance of State CoC,39,5498,0.08,0.12,0.396413502
NC,"Greensboro, High Point CoC",65,1050,0.1,0.14,0.470222222
NC,Charlotte/Mecklenberg CoC,101,3416,0.15,0.2,0.371236481
NC,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",59,501,0.15,0.19,0.421052632
NC,Raleigh/Wake County CoC,71,1570,0.11,0.17,0.434588702
NC,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",57,351,0.04,0.06,0.257425743
NC,Fayetteville/Cumberland County CoC,141,187,0,0,0.511627907
NC,Chapel Hill/Orange County CoC,83,258,0.055555556,0.0625,0.315412186
NC,Northwest North Carolina CoC,68,184,0.06,0.12,0.416666667
